,Date,Match Details,club,Player Name,MinsPlayed,TotalDistance(m),TopSpeed(km/h),AvgSpeed(km/h),HighIntensityActivity,Sprints(> 25.20 km/h)Dist (m),HSR(19.81-25.20 km/h)Dist (m),Distance (m)14.41-19.80km/h,7.21-14.40km/h,0.73-7.20km/h,< 0.72km/h,PDF Name,Young Player,Sprints(> 25.20 km/h) No,HSR(19.81-25.20 km/h) No,Key,season,lastName,firstName,Unnamed: 0,id,values,wages,contractexpires,nation,currentAbility,potentialAbility,position,date,aerialReach,commandofArea,communication,eccentricity,firstTouch,handling,kicking,oneonOnes,passing,punchingTendency,reflexes,rushingoutTendency,throwing,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,offtheBall,positioning,teamwork,vision,workRate,acceleration,agility,balance,jumpingReach,naturalFitness,pace,stamina,strength,freeKickTaking,penaltyTaking,technique
30,2021-03-13,Legia Warszawa 3 - 2 Warta Poznań,Legia Warszawa,Boruc A.,94:15,"4174,63","21,82","2,66",2,"0,00","18,04","39,25","414,05","3684,54","18,75",12636_filter_live_1.pdf,False,0,2,2021-03-13 Legia Warszawa 3 - 2 Warta Poznań,2020/2021,Boruc,A.,7,713854,€ 26.000,€ 4.500,2021-06-30,Poland,61,70,GK,2020-11-23,14,15,16,13,7,14,10,15,12,11,15,16,15,12,14,13,14,9,11,17,3,11,8,14,11,8,9,6,13,10,15,10,6,8,15,6,5,11
31,2021-02-06,Legia Warszawa 2 - 0 Raków Częstochowa,Legia Warszawa,Boruc A.,96:57,"4479,28","20,95","2,77",0,"0,00","0,00","34,49","594,91","3839,35","10,53",12596_filter_live_1.pdf,False,0,0,2021-02-06 Legia Warszawa 2 - 0 Raków Częstochowa,2020/2021,Boruc,A.,7,713854,€ 26.000,€ 4.500,2021-06-30,Poland,61,70,GK,2020-11-23,14,15,16,13,7,14,10,15,12,11,15,16,15,12,14,13,14,9,11,17,3,11,8,14,11,8,9,6,13,10,15,10,6,8,15,6,5,11
32,2020-11-02,Warta Poznań 0 - 3 Legia Warszawa,Legia Warszawa,Boruc A.,45:10,"2202,71","23,85","2,93",0,"0,00","0,00","44,30","269,01","1883,66","5,74",12495_filter_live_1.pdf,False,0,0,2020-11-02 Warta Poznań 0 - 3 Legia Warszawa,2020/2021,Boruc,A.,7,713854,€ 26.000,€ 4.500,2021-06-30,Poland,61,70,GK,2020-11-23,14,15,16,13,7,14,10,15,12,11,15,16,15,12,14,13,14,9,11,17,3,11,8,14,11,8,9,6,13,10,15,10,6,8,15,6,5,11
33,2021-01-31,Podbeskidzie Bielsko - Biała 1 - 0 Legia Warszawa,Legia Warszawa,Boruc A.,95:13,"4782,35","22,14","3,01",2,"0,00","14,78","90,55","755,56","3875,43","46,03",12564_filter_live_1.pdf,False,0,2,2021-01-31 Podbeskidzie Bielsko - Biała 1 - 0 Legia Warszawa,2020/2021,Boruc,A.,7,713854,€ 26.000,€ 4.500,2021-06-30,Poland,61,70,GK,2020-11-23,14,15,16,13,7,14,10,15,12,11,15,16,15,12,14,13,14,9,11,17,3,11,8,14,11,8,9,6,13,10,15,10,6,8,15,6,5,11
34,2021-04-11,Lech Poznań 0 - 0 Legia Warszawa,Legia Warszawa,Boruc A.,94:15,"3861,18","18,74","2,46",0,"0,00","0,00","65,17","449,83","3325,18","21,00",12662_filter_live_1.pdf,False,0,0,2021-04-11 Lech Poznań 0 - 0 Legia Warszawa,2020/2021,Boruc,A.,7,713854,€ 26.000,€ 4.500,2021-06-30,Poland,61,70,GK,2020-11-23,14,15,16,13,7,14,10,15,12,11,15,16,15,12,14,13,14,9,11,17,3,11,8,14,11,8,9,6,13,10,15,10,6,8,15,6,5,11
35,2020-09-11,Wisła Płock 0 - 1 Legia Warszawa,Legia Warszawa,Boruc A.,95:59,"3744,27","18,48","2,34",0,"0,00","0,00","18,55","532,01","3153,63","40,08",12470_filter_live_1.pdf,False,0,0,2020-09-11 Wisła Płock 0 - 1 Legia Warszawa,2020/2021,Boruc,A.,7,713854,€ 26.000,€ 4.500,2021-06-30,Poland,61,70,GK,2020-11-23,14,15,16,13,7,14,10,15,12,11,15,16,15,12,14,13,14,9,11,17,3,11,8,14,11,8,9,6,13,10,15,10,6,8,15,6,5,11
36,2020-12-18,Legia Warszawa 2 - 3 PGE FKS Stal Mielec,Legia Warszawa,Boruc A.,96:48,"4069,65","18,14","2,52",0,"0,00","0,00","41,56","493,19","3512,79","22,11",12556_filter_live_1.pdf,False,0,0,2020-12-18 Legia Warszawa 2 - 3 PGE FKS Stal Mielec,2020/2021,Boruc,A.,7,713854,€ 26.000,€ 4.500,2021-06-30,Poland,61,70,GK,2020-11-23,14,15,16,13,7,14,10,15,12,11,15,16,15,12,14,13,14,9,11,17,3,11,8,14,11,8,9,6,13,10,15,10,6,8,15,6,5,11
37,2020-09-19,Legia Warszawa 1 - 3 Górnik Zabrze,Legia Warszawa,Boruc A.,96:18,"4343,77","16,24","2,69",0,"0,00","0,00","17,36","637,85","3675,38","13,18",12475_filter_live_1.pdf,False,0,0,2020-09-19 Legia Warszawa 1 - 3 Górnik Zabrze,2020/2021,Boruc,A.,7,713854,€ 26.000,€ 4.500,2021-06-30,Poland,61,70,GK,2020-11-23,14,15,16,13,7,14,10,15,12,11,15,16,15,12,14,13,14,9,11,17,3,11,8,14,11,8,9,6,13,10,15,10,6,8,15,6,5,11
38,2020-10-21,Legia Warszawa 2 - 1 Śląsk Wrocław,Legia Warszawa,Boruc A.,95:26,"4477,25","22,13","2,81",0,"0,00","0,00","37,84","614,87","3786,27","26,92",12488_filter_live_1.pdf,False,0,0,2020-10-21 Legia Warszawa 2 - 1 Śląsk Wrocław,2020/2021,Boruc,A.,7,713854,€ 26.000,€ 4.500,2021-06-30,Poland,61,70,GK,2020-11-23,14,15,16,13,7,14,10,15,12,11,15,16,15,12,14,13,14,9,11,17,3,11,8,14,11,8,9,6,13,10,15,10,6,8,15,6,5,11
39,2021-03-21,KGHM Zagłębie Lubin 0 - 4 Legia Warszawa,Legia Warszawa,Boruc A.,93:07,"4096,76","21,75","2,64",0,"0,00","0,00","22,55","578,39","3468,37","19,79",12647_filter_live_1.pdf,False,0,0,2021-03-21 KGHM Zagłębie Lubin 0 - 4 Legia Warszawa,2020/2021,Boruc,A.,7,713854,€ 26.000,€ 4.500,2021-06-30,Poland,61,70,GK,2020-11-23,14,15,16,13,7,14,10,15,12,11,15,16,15,12,14,13,14,9,11,17,3,11,8,14,11,8,9,6,13,10,15,10,6,8,15,6,5,11
