PDF Name;Date;Match Details;Match Length;Net Playing Time;Net Playing Time (1st half);Net Playing Time (2nd half);Team Name;Possession;Net Poss. Time;Net Poss. Time (1st half);Net Poss. Time (2nd half);Distance (m);Sprints;High Speed Runs;Sprint Distance (m);Top Speed (Player);Top Speed (Young Player);Top Speed (km/h);Max Distance (Player);Max Distance (Young Player);Max Distance (m);Max Sprints (Player);Max Sprints (Young Player);Max Sprints;Key;Season
12234_filter_live_1.pdf;2019-10-20;Górnik Zabrze 1 - 1 ŁKS Łódź;0.1:34:46;0.0:49:2;0.0:24:55;0.0:24:7;ŁKS Łódź;52%;0.0:24:49;0.0:12:36;0.0:12:13;112946,42;112;559;1935,7;Rozwandowicz M.;False;32,97;Trąbka M.;False;12014,59;Grzesik J.;False;14;2019-10-20 Górnik Zabrze 1 - 1 ŁKS Łódź;2019/2020
12398_filter_live_1.pdf;2020-06-21;Pogoń Szczecin 0 - 1 Lechia Gdańsk;0.1:35:6;0.0:57:25;0.0:27:10;0.0:30:15;Pogoń Szczecin;63%;0.0:37:10;0.0:14:39;0.0:22:31;113682,07;81;477;1488,81;Listkowski M.;True;32,15;Dąbrowski D.;False;11422,21;Hostikka S.;False;12;2020-06-21 Pogoń Szczecin 0 - 1 Lechia Gdańsk;2019/2020
12398_filter_live_1.pdf;2020-06-21;Pogoń Szczecin 0 - 1 Lechia Gdańsk;0.1:35:6;0.0:57:25;0.0:27:10;0.0:30:15;Lechia Gdańsk;37%;0.0:19:32;0.0:12:17;0.0:7:15;113444,31;92;472;1704,52;Conrado;False;32,82;Gajos M.;False;11462,81;Saief K.;False;13;2020-06-21 Pogoń Szczecin 0 - 1 Lechia Gdańsk;2019/2020
Wisła Kraków - Lechia Gdańsk.pdf;2018-09-15;Wisła Kraków 5 - 2 Lechia Gdańsk;0.1:37:18;0.0:50:46;0.0:24:52;0.0:25:54;Wisła Kraków;55%;0.0:27:26;0.0:14:28;0.0:12:58;112985,84;69;471;1246,47;Kostal M.;False;33,56;Boguski R.;False;12061,22;Boguski R.;False;10;2018-09-15 Wisła Kraków 5 - 2 Lechia Gdańsk;2018/2019
Wisła Kraków - Lechia Gdańsk.pdf;2018-09-15;Wisła Kraków 5 - 2 Lechia Gdańsk;0.1:37:18;0.0:50:46;0.0:24:52;0.0:25:54;Lechia Gdańsk;45%;0.0:22:34;0.0:9:58;0.0:12:36;107769,25;68;465;1245,46;Fila K.;False;32,85;Kubicki J.;False;11328,22;Mladenović F.;False;15;2018-09-15 Wisła Kraków 5 - 2 Lechia Gdańsk;2018/2019
12205_filter_live_1.pdf;2019-09-14;Korona Kielce 1 - 1 Wisła Kraków;0.1:36:0;0.0:45:40;0.0:23:41;0.0:21:59;Korona Kielce;54%;0.0:24:21;0.0:11:17;0.0:13:4;105471,33;95;447;2006,13;Cebula M.;False;34,49;Radin M.;False;10688,31;Gardawski M.;False;16;2019-09-14 Korona Kielce 1 - 1 Wisła Kraków;2019/2020
12205_filter_live_1.pdf;2019-09-14;Korona Kielce 1 - 1 Wisła Kraków;0.1:36:0;0.0:45:40;0.0:23:41;0.0:21:59;Wisła Kraków;46%;0.0:20:26;0.0:11:57;0.0:8:29;101728,46;96;490;2179,88;Boguski R.;False;34,43;Savicević V.;False;11837,29;Mak M.;False;18;2019-09-14 Korona Kielce 1 - 1 Wisła Kraków;2019/2020
12206_filter_live_1.pdf;2019-09-14;Lechia Gdańsk 2 - 1 Lech Poznań;0.1:35:32;0.0:56:21;0.0:28:57;0.0:27:24;Lechia Gdańsk;40%;0.0:22:14;0.0:11:23;0.0:10:51;110641,28;116;519;2270,77;Udovicić Ż.;False;33,87;Kubicki J.;False;11899,35;Udovicić Ż.;False;18;2019-09-14 Lechia Gdańsk 2 - 1 Lech Poznań;2019/2020
12206_filter_live_1.pdf;2019-09-14;Lechia Gdańsk 2 - 1 Lech Poznań;0.1:35:32;0.0:56:21;0.0:28:57;0.0:27:24;Lech Poznań;60%;0.0:33:28;0.0:17:18;0.0:16:10;107279,89;88;478;1523,65;Kostewycz W.;False;33,15;Muhar K.;False;11493,71;Gumny R.;False;16;2019-09-14 Lechia Gdańsk 2 - 1 Lech Poznań;2019/2020
Korona Kielce - Miedź Legnica (2).pdf;2019-05-04;Korona Kielce 0 - 0 Miedź Legnica;0.1:35:34;0.0:55:39;0.0:28:25;0.0:27:14;Korona Kielce;59%;0.0:33:24;0.0:16:24;0.0:17:0;107843,43;97;502;1694,24;Pućko M.;False;33,21;Gnjatić O.;False;11617,73;Gardawski M.;False;19;2019-05-04 Korona Kielce 0 - 0 Miedź Legnica;2018/2019
