,Player Name,Season,Team Name,Fminside Link
165,Filip Mladenovic ,2020/2021,Legia Warszawa,https://fminside.net/players/2-fm-22/62025449-filip-mladenovic
166,Luquinhas ,2020/2021,Legia Warszawa,https://fminside.net/players/2-fm-22/84109364-luquinhas
167,André Martins ,2020/2021,Legia Warszawa,https://fminside.net/players/2-fm-22/55009957-andre-martins
168,Pawel Wszolek ,2020/2021,Legia Warszawa,https://fminside.net/players/2-fm-22/96008522-pawel-wszolek
169,Rafa Lopes ,2020/2021,Legia Warszawa,https://fminside.net/players/2-fm-22/83253993-rafa-lopes
170,Valeriane Gvilia ,2020/2021,Legia Warszawa,https://fminside.net/players/2-fm-22/71072151-valeriane-gvilia
171,Tomas Pekhart ,2020/2021,Legia Warszawa,https://fminside.net/players/2-fm-22/28005831-toma-pekhart
172,Adrian Lis ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/96010249-adrian-lis
173,Aleks Lawniczak ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/96145161-aleks-lawniczak
174,Robert Ivanov ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/33061077-robert-ivanov
175,Jan Grzesik ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/96061692-jan-grzesik
176,Makana Baku ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/92091314-makana-baku
177,Mateusz Kupczak ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/96018070-mateusz-kupczak
178,Mateusz Czyzycki ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/96106614-mateusz-czyzycki
179,Mateusz Kuzimski ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/96031407-mateusz-kuzimski
180,Adam Zrelak ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/63025549-adam-zrelak
181,Mariusz Rybicki ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/96031067-mariusz-rybicki
182,Bartosz Kieliba ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/96009325-bartosz-kieliba
183,Jakub Kuzdra ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/96086516-jakub-kuzdra
184,Michal Jakobowski ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/96032463-michal-jakobowski
185,Lukasz Tralka ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/717766-lukasz-tralka
186,Gracjan Jaroch ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/96104764-gracjan-jaroch
187,Adrian Laskowski ,2020/2021,Warta Poznań,https://fminside.net/players/2-fm-22/96018159-adrian-laskowski
188,Dusan Kuciak ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/7560127-duan-kuciak
189,Karol Fila ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/96093091-karol-fila
190,Michal Nalepa ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/96064350-michal-nalepa
191,Bartosz Kopacz ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/96007386-bartosz-kopacz
192,Rafal Pietrzak ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/54008755-rafal-pietrzak
193,Jaroslav Mihalik ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/63013144-jaroslav-mihalik
194,Maciej Gajos ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/96002753-maciej-gajos
195,Jaroslaw Kubicki ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/96052624-jaroslaw-kubicki
196,Tomasz Makowski ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/96093081-tomasz-makowski
197,Flávio Paixão ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/67039209-flavio-paixao
198,Lukasz Zwolinski ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/96032774-lukasz-zwolinski
199,Jakub Kaluzinski ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/96132920-jakub-kaluzinski
200,Zarko Udovicic ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/62013679-arko-udovicic
201,Omran Haydary ,2020/2021,Lechia Gdańsk,https://fminside.net/players/2-fm-22/37073812-omran-haydary
202,Mikkel Kirkeskov ,2020/2021,Piast Gliwice,https://fminside.net/players/2-fm-22/27013698-mikkel-kirkeskov
203,Sebastian Milewski ,2020/2021,Piast Gliwice,https://fminside.net/players/2-fm-22/96090581-sebastian-milewski
204,Jakub Holubek ,2020/2021,Piast Gliwice,https://fminside.net/players/2-fm-22/63011025-jakub-holubek
205,Damian Zbozien ,2020/2021,Wisła Płock,https://fminside.net/players/2-fm-22/54003779-damian-zbozien
206,Milan Obradovic ,2020/2021,Wisła Płock,https://fminside.net/players/2-fm-22/62163525-milan-obradovi
207,Piotr Pyrdol ,2020/2021,Wisła Płock,https://fminside.net/players/2-fm-22/96111616-piotr-pyrdol
